lat,long,time
23.535805,87.2960483333,14:57:16
23.5357816667,87.296095,14:57:17
23.5357566667,87.2961383333,14:57:18
23.5357266667,87.29618,14:57:19
23.5357,87.2962283333,14:57:20
23.5356716667,87.29628,14:57:21
23.53564,87.2963316667,14:57:22
23.5356116667,87.2963833333,14:57:23
23.5355866667,87.2964366667,14:57:24
23.5355666667,87.2964816667,14:57:25
23.5355483333,87.2965166667,14:57:26
23.535535,87.2965416667,14:57:27
23.535525,87.296555,14:57:28
23.5355183333,87.2965666667,14:57:29
23.5355083333,87.2965816667,14:57:30
23.5354933333,87.2966033333,14:57:31
23.5354783333,87.2966333333,14:57:32
23.5354583333,87.2966683333,14:57:33
23.5354383333,87.2967066667,14:57:34
23.5354166667,87.29675,14:57:35
23.5353966667,87.296795,14:57:36
23.5353766667,87.2968466667,14:57:37
23.5353633333,87.2969016667,14:57:38
23.535355,87.2969583333,14:57:39
23.5353516667,87.2970116667,14:57:40
23.535355,87.2970633333,14:57:41
23.535365,87.29711,14:57:42
23.5353783333,87.2971483333,14:57:43
23.5353966667,87.2971816667,14:57:44
23.535415,87.2972066667,14:57:45
23.535435,87.2972266667,14:57:46
23.5354516667,87.29724,14:57:47
23.5354633333,87.29725,14:57:48
23.535475,87.2972616667,14:57:49
23.53549,87.2972783333,14:57:50
23.53551,87.2972916667,14:57:51
23.53553,87.2973083333,14:57:52
23.5355483333,87.297325,14:57:53
23.5355666667,87.2973466667,14:57:54
23.5355833333,87.2973616667,14:57:55
23.5355983333,87.297375,14:57:56
23.5356083333,87.2973833333,14:57:57
23.5356116667,87.29739,14:57:58
23.5356133333,87.297395,14:57:59
23.535615,87.2974,14:58:00
23.535615,87.2974,14:58:01
23.535615,87.2974,14:58:02
23.535615,87.2974,14:58:03
23.535615,87.2974,14:58:04
23.535615,87.2974,14:58:05
23.535615,87.2974,14:58:06
23.535615,87.2974,14:58:07
23.535615,87.2974,14:58:08
23.535615,87.2974,14:58:09
23.535615,87.2974,14:58:10
23.535615,87.2974,14:58:11
23.535615,87.2974,14:58:12
23.535615,87.2974,14:58:13
23.535615,87.2974,14:58:14
23.535615,87.2974,14:58:15
23.535615,87.2974,14:58:16
23.535615,87.2974,14:58:17
23.535615,87.2974,14:58:18
23.535615,87.2974,14:58:19
23.535615,87.2974,14:58:20
23.535615,87.2974,14:58:21
23.535615,87.2974,14:58:22
23.535615,87.2974,14:58:23
23.535615,87.2974,14:58:24
23.535615,87.2974,14:58:25
23.535615,87.2974,14:58:26
23.535615,87.2974,14:58:27
23.535615,87.2974,14:58:28
23.535615,87.2974,14:58:29
23.535615,87.2974,14:58:30
23.535615,87.2974,14:58:31
23.535615,87.2974,14:58:32
23.535615,87.2974,14:58:33
23.535615,87.2974,14:58:34
23.535615,87.2974,14:58:35
23.535615,87.2974,14:58:36
23.535615,87.2974,14:58:37
23.535615,87.2974,14:58:38
23.535615,87.2974,14:58:39
23.535615,87.2974,14:58:40
23.535615,87.2974,14:58:41
23.535615,87.2974,14:58:42
23.535615,87.2974,14:58:43
23.535615,87.2974,14:58:44
23.535615,87.2974,14:58:45
23.535615,87.2974,14:58:46
23.535615,87.2974,14:58:47
23.535615,87.2974,14:58:48
23.535615,87.2974,14:58:49
23.535615,87.2974,14:58:50
23.535615,87.2974,14:58:51
23.535615,87.2974,14:58:52
23.535615,87.2974,14:58:53
23.535615,87.2974,14:58:54
23.535615,87.2974,14:58:55
